Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	1	160795891	160803681	1	spgonia_CAST_rep3-piC_19	18171
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	1	186696820	186704649	1	spgonia_CAST_rep3-piC_27	14169
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	2	148532627	148541541	1	spgonia_CAST_rep3-piC_53	13196
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	4	62134840	62164437	1	spgonia_CAST_rep3-piC_75	272393
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	4	132446523	132455826	1	spgonia_CAST_rep3-piC_90	31864
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	4	134979717	134985499	1	spgonia_CAST_rep3-piC_92	20597
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	4	135133733	135146823	1	spgonia_CAST_rep3-piC_93	36288
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	5	113465292	113510013	1	spgonia_CAST_rep3-piC_105	397062
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	5	114074619	114082008	1	spgonia_CAST_rep3-piC_106	14390
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	6	61421679	61434338	1	spgonia_CAST_rep3-piC_125	74801
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	6	120862731	120872276	1	spgonia_CAST_rep3-piC_138	12125
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	6	127756368	127816128	1	spgonia_CAST_rep3-piC_140	106624
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	7	69549230	69574131	1	spgonia_CAST_rep3-piC_148	52686
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	7	73428668	73480312	1	spgonia_CAST_rep3-piC_151	101975
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	7	79009720	79016794	1	spgonia_CAST_rep3-piC_155	10158
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	7	108628505	108635231	1	spgonia_CAST_rep3-piC_159	7501
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	8	111858545	111870134	1	spgonia_CAST_rep3-piC_176	39836
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	9	54117297	54163259	1	spgonia_CAST_rep3-piC_189	76855
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	9	67596661	67625035	1	spgonia_CAST_rep3-piC_193	74870
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	9	106563505	106572060	1	spgonia_CAST_rep3-piC_195	13594
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	9	114328208	114343658	1	spgonia_CAST_rep3-piC_199	51623
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	9	119261600	119274089	1	spgonia_CAST_rep3-piC_200	28701
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	11	60665480	60681830	1	spgonia_CAST_rep3-piC_226	28723
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	11	60681837	60682027	1	spgonia_CAST_rep3-piC_226	875
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	11	72658389	72663652	1	spgonia_CAST_rep3-piC_229	15252
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	11	102955933	102961690	1	spgonia_CAST_rep3-piC_242	7811
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	12	98349109	98418635	1	spgonia_CAST_rep3-piC_255	177764
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	14	63755404	63761417	1	spgonia_CAST_rep3-piC_271	17063
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	15	59118004	59160946	1	spgonia_CAST_rep3-piC_274	95188
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	16	17298849	17308116	1	spgonia_CAST_rep3-piC_292	14527
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	16	32204867	32213346	1	spgonia_CAST_rep3-piC_294	23172
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	17	24391595	24397336	1	spgonia_CAST_rep3-piC_305	32857
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	17	26499005	26500868	1	spgonia_CAST_rep3-piC_307	6775
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	17	26500869	26506928	1	spgonia_CAST_rep3-piC_307	7417
Mus musculus	reference (CL57BL6) strain	GRCm39	chromosome	17	27497761	27590496	1	spgonia_CAST_rep3-piC_310	431198
