1	193772070	193781032	1	testis_129_rep1-piC_19
2	27221194	27237007	1	testis_129_rep1-piC_22
2	95288002	95297882	1	testis_129_rep1-piC_28
2	95476256	95487004	1	testis_129_rep1-piC_29
2	133242458	133247268	1	testis_129_rep1-piC_35
4	39320027	39338985	1	testis_129_rep1-piC_59
4	97746314	97757717	1	testis_129_rep1-piC_67
4	137719076	137750922	1	testis_129_rep1-piC_75
5	33197054	33218990	1	testis_129_rep1-piC_79
5	115964064	116015374	1	testis_129_rep1-piC_82
5	134253064	134261234	1	testis_129_rep1-piC_88
6	131307492	131399021	1	testis_129_rep1-piC_115
7	71271610	71361026	1	testis_129_rep1-piC_129
7	74630016	74705856	1	testis_129_rep1-piC_130
7	75327978	75438869	1	testis_129_rep1-piC_131
7	112432697	112438998	1	testis_129_rep1-piC_137
7	129547068	129576019	1	testis_129_rep1-piC_141
8	128603345	128614022	1	testis_129_rep1-piC_165
9	53240012	53311000	1	testis_129_rep1-piC_171
9	67597280	67683726	1	testis_129_rep1-piC_173
9	116749308	116765985	1	testis_129_rep1-piC_178
10	82082611	82111948	1	testis_129_rep1-piC_195
10	87524029	87598851	1	testis_129_rep1-piC_201
11	60693544	60710018	1	testis_129_rep1-piC_209
11	69819006	69826199	1	testis_129_rep1-piC_211
11	101404871	101413712	1	testis_129_rep1-piC_219
12	53582952	53587127	1	testis_129_rep1-piC_230
12	99743019	99842778	1	testis_129_rep1-piC_234
14	17346796	17363243	1	testis_129_rep1-piC_249
14	52020308	52026980	1	testis_129_rep1-piC_252
14	55913546	55920613	1	testis_129_rep1-piC_253
15	58452683	58529962	1	testis_129_rep1-piC_259
16	8029204	8034016	1	testis_129_rep1-piC_272
17	26375016	26399013	1	testis_129_rep1-piC_281
17	26548270	26656076	1	testis_129_rep1-piC_282
17	26857769	26876301	1	testis_129_rep1-piC_283
17	68367213	68446643	1	testis_129_rep1-piC_289
18	67271028	67357868	1	testis_129_rep1-piC_295
18	77699135	77704987	1	testis_129_rep1-piC_296
